DOCUMENT_NO,DATE,CUSTOMER_NAME,TYPE,ITEM_NO,ITEM_DESCRIPTION,BAR_CODE,BRAND_NAME,ITEM_CATEGORY,QUANTITY,AMOUNT,UNIT_COST_LCY,SALESPERSON
320848,3/19/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,2,3080,907.32429,201
320848,3/19/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,1,1600,907.32429,201
342155,5/21/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,1,1600,894.72857,201
270103,10/3/2013,INTER CLEARING,Item,159,UNI 3M FIELD SERVICE VACCUME,20010,3M,SPARE PARTS,1,936.41,190.5959697,201
314073,2/26/2014,INTER CLEARING,Item,159,UNI 3M FIELD SERVICE VACCUME,20010,3M,SPARE PARTS,1,936.41,936.40667,201
356427,6/29/2014,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,MAINTENANACE CHARGES (01.07.2014-30.09.2014),nan,CONTRACT,CONTRACT,1,1800,0,201
381115,9/15/2014,MAPCO INC QATAR,Resource,CONTRACT,MAINTENANCE CHARGES (25.08.2014-24.11.2014),nan,CONTRACT,CONTRACT,1,1800,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#25582, BH C450)",nan,CONTRACT,CONTRACT,1,6400,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#32070, BH 920)",nan,CONTRACT,CONTRACT,1,6450,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#38846, BH C550)",nan,CONTRACT,CONTRACT,1,8950,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#41162, BH 950)",nan,CONTRACT,CONTRACT,1,9750,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#41163, BH 350)",nan,CONTRACT,CONTRACT,1,2750,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#42218, BH 501)",nan,CONTRACT,CONTRACT,1,3525,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#42813, PW 350)",nan,CONTRACT,CONTRACT,1,10500,0,201
560324,11/24/2015,AERO FREIGHT SERVICES,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,272.52,0,201
436176,2/11/2015,ETA STAR INTERNATIONAL,CONTRACT,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,631,0,201
269288,9/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,CONTRACT,nan,CONTRACT,CONTRACT,1,2726,190.5959697,201
469517,4/29/2015,PARSONS INTERNATIONAL LIMITED,CONTRACT,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,750,0,201
416107,12/22/2014,PERMASTEELISA GARTNER,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,6233.4,0,201
416112,12/22/2014,PERMASTEELISA GARTNER,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,1050.4,0,201
190175,1/3/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT ( REF#45338, BH-C652, SER#A0P0041001182)",nan,CONTRACT,CONTRACT,1,20300.5,190.5959697,201
190175,1/3/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT ( REF#45455, BH-C652, SER#A0P0041000634)",nan,CONTRACT,CONTRACT,1,11624.75,190.5959697,201
259597,8/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT ( REF#46065,BH C360)",nan,CONTRACT,CONTRACT,1,1519,190.5959697,201
208253,3/5/2013,NOBLE INTERNATIONAL AGENCY,Resource,LABOUR,"CONTRACT ( REF#46267, BH C360)",nan,CONTRACT,CONTRACT,12,10800,190.5959697,201
218926,4/10/2013,NOBLE INTERNATIONAL AGENCY,Resource,LABOUR,"CONTRACT ( REF#47825, BH-C454)",nan,CONTRACT,CONTRACT,3,6900,190.5959697,201
277044,10/30/2013,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,CONTRACT (01.11.2013 - 31.01.2014),nan,CONTRACT,CONTRACT,1,1800,190.5959697,201
257472,8/24/2013,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"CONTRACT (REF# 38846,BH C550)",nan,CONTRACT,CONTRACT,1,8950,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 45338, BH C652)",nan,CONTRACT,CONTRACT,1,13629,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 45455, BH C652)",nan,CONTRACT,CONTRACT,1,24789,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 46671, BH C652)",nan,CONTRACT,CONTRACT,1,6289,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 47241, BH C652)",nan,CONTRACT,CONTRACT,1,13824,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 47418, BH C652)",nan,CONTRACT,CONTRACT,1,1212,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 48318, BH C7000)",nan,CONTRACT,CONTRACT,1,18639,190.5959697,201
277562,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF# 48409, BH C654)",nan,CONTRACT,CONTRACT,1,1143,190.5959697,201
259239,8/29/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#21910, DI 7210)",nan,CONTRACT,CONTRACT,1,1362.5,190.5959697,201
47715,8/31/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#21910, DI 7210)",nan,CONTRACT,CONTRACT,1,-1362.5,190.5959697,201
259239,8/29/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#22647, Di 650)",nan,CONTRACT,CONTRACT,1,1150,190.5959697,201
47715,8/31/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#22647, Di 650)",nan,CONTRACT,CONTRACT,1,-1150,190.5959697,201
257472,8/24/2013,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"CONTRACT (REF#25582,BH C450)",nan,CONTRACT,CONTRACT,1,6400,190.5959697,201
266168,9/22/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#26110, BH 750)",nan,CONTRACT,CONTRACT,6,5700,190.5959697,201
195353,1/21/2013,ARAB ENGINEERING BUREAU,Resource,LABOUR,"CONTRACT (REF#26203, BH-750, SER#57AN00272)",nan,CONTRACT,CONTRACT,1,6000,190.5959697,201
248846,7/21/2013,NOBLE INTERNATIONAL AGENCY,Resource,CONTRACT,"CONTRACT (REF#26371, BH 750)",nan,CONTRACT,CONTRACT,1,5350,190.5959697,201
266168,9/22/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#26660, BH 750)",nan,CONTRACT,CONTRACT,6,5700,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#26814, BH 750)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#26814, BH-750)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
278624,11/4/2013,CASH CLEARING,Resource,CONTRACT,"CONTRACT (REF#27095, BH 600)",nan,CONTRACT,CONTRACT,1,3750,190.5959697,201
259238,8/29/2013,JAIDAH MOTORS,Resource,CONTRACT,"CONTRACT (REF#27715,BH-350)",nan,CONTRACT,CONTRACT,1,3775,190.5959697,201
196294,1/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#27910, BH-600,57BN00606)",nan,CONTRACT,CONTRACT,1,2500,190.5959697,201
278621,11/4/2013,PETROTEC,Resource,CONTRACT,"CONTRACT (REF#27945, BH 350)",nan,CONTRACT,CONTRACT,1,2750,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#28449, BH 600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#28449, BH-600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#28453, BH 600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#28453, BH-600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
259238,8/29/2013,JAIDAH MOTORS,Resource,CONTRACT,"CONTRACT (REF#28526,BH-350)",nan,CONTRACT,CONTRACT,1,3775,190.5959697,201
271648,10/9/2013,EMIRATES AIRLINES,Resource,CONTRACT,"CONTRACT (REF#29363, BH 350)",nan,CONTRACT,CONTRACT,1,2750,190.5959697,201
259239,8/29/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#29547, BH-750)",nan,CONTRACT,CONTRACT,1,1362.5,190.5959697,201
47715,8/31/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#29547, BH-750)",nan,CONTRACT,CONTRACT,1,-1362.5,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#30333, BH 750)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#30333, BH-750)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
271648,10/9/2013,EMIRATES AIRLINES,Resource,CONTRACT,"CONTRACT (REF#30940, BH 210)",nan,CONTRACT,CONTRACT,1,1800,190.5959697,201
194441,1/19/2013,ALMANA MAPLES,Resource,LABOUR,"CONTRACT (REF#30941, BH-C352, SER#215701939)",nan,CONTRACT,CONTRACT,1,5000,190.5959697,201
196294,1/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#31115, BH-600,57AN00016)",nan,CONTRACT,CONTRACT,1,2500,190.5959697,201
263687,9/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#31457, BH 920)",nan,CONTRACT,CONTRACT,6,8100,190.5959697,201
257470,8/24/2013,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"CONTRACT (REF#32024, BH-600)",nan,CONTRACT,CONTRACT,1,4950,190.5959697,201
257472,8/24/2013,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"CONTRACT (REF#32070,BH 920)",nan,CONTRACT,CONTRACT,1,6450,190.5959697,201
278621,11/4/2013,PETROTEC,Resource,CONTRACT,"CONTRACT (REF#34090, BH 750)",nan,CONTRACT,CONTRACT,1,3750,190.5959697,201
259239,8/29/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#34130, BH-750)",nan,CONTRACT,CONTRACT,1,1362.5,190.5959697,201
47715,8/31/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#34130, BH-750)",nan,CONTRACT,CONTRACT,1,-1362.5,190.5959697,201
252493,8/3/2013,ARCO QATAR INC.,Resource,CONTRACT,"CONTRACT (REF#34758, KM BH-600)",nan,CONTRACT,CONTRACT,1,3750,190.5959697,201
213585,3/24/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,LABOUR,"CONTRACT (REF#34820, BH-920)",nan,CONTRACT,CONTRACT,6,8100,190.5959697,201
213585,3/24/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,LABOUR,"CONTRACT (REF#34821, BH-920)",nan,CONTRACT,CONTRACT,6,8100,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#35402, BH 750)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#35402, BH-600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
259239,8/29/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#35478, BH-750)",nan,CONTRACT,CONTRACT,1,1362.5,190.5959697,201
47715,8/31/2013,QATAR STEEL COMPANY,Resource,CONTRACT,"CONTRACT (REF#35478, BH-750)",nan,CONTRACT,CONTRACT,1,-1362.5,190.5959697,201
280847,11/12/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#35834, BH 600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
226212,5/2/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#35834, BH-600)",nan,CONTRACT,CONTRACT,1,3125,190.5959697,201
281136,11/13/2013,CASH CLEARING,Resource,CONTRACT,"CONTRACT (REF#36664, BH 751)",nan,CONTRACT,CONTRACT,1,2700,190.5959697,201
208487,3/6/2013,QATAR KENTZ W.L.L,Resource,LABOUR,CONTRACT (REF#38102- BH-600),nan,CONTRACT,CONTRACT,3,4800,190.5959697,201
262890,9/9/2013,SIX CONSTRUCT LTD,Resource,LABOUR,"CONTRACT (REF#38589, BH-750)",nan,CONTRACT,CONTRACT,1,5200,190.5959697,201
277050,10/30/2013,SIX CONSTRUCT LTD,Resource,CONTRACT,"CONTRACT (REF#38872, BH 421)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
247566,7/15/2013,CASH CLEARING,Resource,CONTRACT,"CONTRACT (REF#39601, KM BH-C550)",nan,CONTRACT,CONTRACT,1,6500,190.5959697,201
41679,5/2/2013,INTEGRA INTERNATIONAL TRADING &CONTRACTING,Resource,LABOUR,CONTRACT (REF#39832.BH-C451),nan,CONTRACT,CONTRACT,1,-6500,190.5959697,201
226216,5/2/2013,INTEGRA INTERNATIONAL TRADING &CONTRACTING,Resource,LABOUR,CONTRACT (REF#39832.BH-C451),nan,CONTRACT,CONTRACT,1,6500,190.5959697,201
271648,10/9/2013,EMIRATES AIRLINES,Resource,CONTRACT,"CONTRACT (REF#39840, BH 163)",nan,CONTRACT,CONTRACT,1,1800,190.5959697,201
250362,7/27/2013,MAPCO INC QATAR,Resource,CONTRACT,"CONTRACT (REF#40692, BH-421)",nan,CONTRACT,CONTRACT,1,3500,190.5959697,201
220159,4/14/2013,AL JAMEI CENTRE,Resource,LABOUR,"CONTRACT (REF#40842, BH-751)",nan,CONTRACT,CONTRACT,1,2800,190.5959697,201
220159,4/14/2013,AL JAMEI CENTRE,Resource,LABOUR,"CONTRACT (REF#40843, BH-751)",nan,CONTRACT,CONTRACT,1,2800,190.5959697,201
243176,6/30/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#41460 , BH-421)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
213579,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#41460, BH-421)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
213580,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#41460, BH-421)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
259809,8/31/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#41460, KM BH-421)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
278621,11/4/2013,PETROTEC,Resource,CONTRACT,"CONTRACT (REF#42231, BH C360)",nan,CONTRACT,CONTRACT,1,5200,190.5959697,201
262896,9/9/2013,SIX CONSTRUCT -MIDMAC JV,Resource,CONTRACT,"CONTRACT (REF#42689, BH-751)",nan,CONTRACT,CONTRACT,1,5350,190.5959697,201
244593,7/3/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#43044 , BH-751)",nan,CONTRACT,CONTRACT,1,5350,190.5959697,201
262896,9/9/2013,SIX CONSTRUCT -MIDMAC JV,Resource,CONTRACT,"CONTRACT (REF#43048, BH-751)",nan,CONTRACT,CONTRACT,1,5350,190.5959697,201
259373,8/31/2013,ALMANA TRADING CO.,Resource,CONTRACT,"CONTRACT (REF#43051,BH--501)",nan,CONTRACT,CONTRACT,1,4800,190.5959697,201
246961,7/13/2013,GULF CONTRACTING CO.(GULF HOUSING),Resource,CONTRACT,"CONTRACT (REF#43166, TDS-450)",nan,CONTRACT,CONTRACT,6,9000,190.5959697,201
262896,9/9/2013,SIX CONSTRUCT -MIDMAC JV,Resource,CONTRACT,"CONTRACT (REF#43471, BH-751)",nan,CONTRACT,CONTRACT,1,5350,190.5959697,201
208487,3/6/2013,QATAR KENTZ W.L.L,Resource,LABOUR,CONTRACT (REF#43880- BH-C360),nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
268969,9/30/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#43880, KM BH C360)",nan,CONTRACT,CONTRACT,1,61926.18,190.5959697,201
249822,7/24/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#43880,BH-C360)",nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
272289,10/12/2013,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,"CONTRACT (REF#43882, BH 501)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
272293,10/12/2013,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,"CONTRACT (REF#43882, KM BH-501)",nan,CONTRACT,CONTRACT,1,9132,190.5959697,201
294509,12/29/2013,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,"CONTRACT (REF#43882,BH 501)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
219826,4/14/2013,ALMANA FLEET WLL,Resource,LABOUR,"CONTRACT (REF#43932, BH-C452)",nan,CONTRACT,CONTRACT,1,6000,190.5959697,201
208528,3/6/2013,CASH CLEARING,Resource,LABOUR,"CONTRACT (REF#44145, KM BH 363)",nan,CONTRACT,CONTRACT,1,2750,190.5959697,201
278621,11/4/2013,PETROTEC,Resource,CONTRACT,"CONTRACT (REF#44152, BH C360)",nan,CONTRACT,CONTRACT,1,5200,190.5959697,201
212872,3/21/2013,AL BALAGH TRADING & CONTRACTING,Resource,LABOUR,"CONTRACT (REF#44369, BH-423)",nan,CONTRACT,CONTRACT,3,1650,190.5959697,201
268605,9/29/2013,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,"CONTRACT (REF#44369,BH-423)",nan,CONTRACT,CONTRACT,3,1650,190.5959697,201
212866,3/21/2013,CASH CLEARING,Resource,LABOUR,"CONTRACT (REF#44941, BH-423)",nan,CONTRACT,CONTRACT,6,3600,190.5959697,201
212656,3/20/2013,CASH CLEARING,Resource,LABOUR,"CONTRACT (REF#44941,BH-423)",nan,CONTRACT,CONTRACT,1,4738.48,190.5959697,201
251806,7/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45338, BH C652)",nan,CONTRACT,CONTRACT,1,12992,190.5959697,201
201159,2/9/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT (REF#45338, BH-C652)",nan,CONTRACT,CONTRACT,1,19061.25,190.5959697,201
207440,3/2/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT (REF#45338, KM BH-C652)",nan,CONTRACT,CONTRACT,1,18010.5,190.5959697,201
207440,3/2/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT (REF#45338, KM BH-C652)",nan,CONTRACT,CONTRACT,1,11056,190.5959697,201
243612,6/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45338, KM BH-C652)",nan,CONTRACT,CONTRACT,1,9832,190.5959697,201
269283,9/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45338,BH C652)",nan,CONTRACT,CONTRACT,1,13179,190.5959697,201
259607,8/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45338,BH-C652)",nan,CONTRACT,CONTRACT,1,8091,190.5959697,201
251806,7/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45455, BH C652)",nan,CONTRACT,CONTRACT,1,16956,190.5959697,201
201159,2/9/2013,PARSONS INTERNATIONAL LIMITED,Resource,LABOUR,"CONTRACT (REF#45455, BH-C652)",nan,CONTRACT,CONTRACT,1,13964.25,190.5959697,201
243612,6/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45455, KM BH-C652)",nan,CONTRACT,CONTRACT,1,18539,190.5959697,201
269283,9/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45455,BH C652)",nan,CONTRACT,CONTRACT,1,21998,190.5959697,201
259607,8/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#45455,BH-C652)",nan,CONTRACT,CONTRACT,1,14328,190.5959697,201
251802,7/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46065, BH C360)",nan,CONTRACT,CONTRACT,1,3156,190.5959697,201
277557,10/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46065, BH C360)",nan,CONTRACT,CONTRACT,1,1644,190.5959697,201
243600,6/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46065, KM BH-C360)",nan,CONTRACT,CONTRACT,1,365,190.5959697,201
281140,11/13/2013,ALMANA MAPLES,Resource,CONTRACT,"CONTRACT (REF#46192,  BH C452)",nan,CONTRACT,CONTRACT,1,6500,190.5959697,201
205570,2/25/2013,ALMANA MAPLES,Resource,LABOUR,"CONTRACT (REF#46192, BH-C452, SER#A0P2041005555)",nan,CONTRACT,CONTRACT,1,6500,190.5959697,201
208487,3/6/2013,QATAR KENTZ W.L.L,Resource,LABOUR,CONTRACT (REF#46208- BH-750),nan,CONTRACT,CONTRACT,3,4800,190.5959697,201
208487,3/6/2013,QATAR KENTZ W.L.L,Resource,LABOUR,CONTRACT (REF#46208- BH-C360),nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
249822,7/24/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#46208,BH-750)",nan,CONTRACT,CONTRACT,3,4800,190.5959697,201
208469,3/6/2013,QATAR KENTZ W.L.L,Resource,LABOUR,"CONTRACT (REF#46286, BH C360)",nan,CONTRACT,CONTRACT,1,17941.56,190.5959697,201
268969,9/30/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#46286, KM BH C360)",nan,CONTRACT,CONTRACT,1,22598.1,190.5959697,201
267108,9/24/2013,QATAR KENTZ W.L.L,Resource,CONTRACT,"CONTRACT (REF#46430, BH C360)",nan,CONTRACT,CONTRACT,1,24000,190.5959697,201
205785,2/26/2013,CASH CLEARING,Resource,LABOUR,"CONTRACT (REF#46435, BH-283)",nan,CONTRACT,CONTRACT,1,1454.9,190.5959697,201
243180,6/30/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#46446 , BH-C360)",nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
213582,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#46446, BH C360)",nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
243180,6/30/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#46447 , BH-C360)",nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
213582,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#46447, BH C360)",nan,CONTRACT,CONTRACT,3,6300,190.5959697,201
268954,9/30/2013,SIX CONSTRUCT LTD,Resource,CONTRACT,"CONTRACT (REF#46523, BH C360)",nan,CONTRACT,CONTRACT,1,5200,190.5959697,201
243176,6/30/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#46597 , BH-350)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
213579,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#46597, BH-350)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
213580,3/24/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,LABOUR,"CONTRACT (REF#46597, BH-350)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
259809,8/31/2013,QATAR FOUNDATION EDU.SC.& COMM.DEVELOPMENT,Resource,CONTRACT,"CONTRACT (REF#46597, KM BH-350)",nan,CONTRACT,CONTRACT,3,1800,190.5959697,201
251806,7/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46671, BH C652)",nan,CONTRACT,CONTRACT,1,9495,190.5959697,201
243612,6/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46671, KM BH-C652)",nan,CONTRACT,CONTRACT,1,10604,190.5959697,201
259607,8/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#46671,BH-C652)",nan,CONTRACT,CONTRACT,1,5084,190.5959697,201
278621,11/4/2013,PETROTEC,Resource,CONTRACT,"CONTRACT (REF#46991, BH C360)",nan,CONTRACT,CONTRACT,1,5200,190.5959697,201
248844,7/21/2013,NOBLE INTERNATIONAL AGENCY,Resource,CONTRACT,"CONTRACT (REF#46992,SER#A0ED041010066, BH C360)",nan,CONTRACT,CONTRACT,12,10800,190.5959697,201
251806,7/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#47241, BH C652)",nan,CONTRACT,CONTRACT,1,15853,190.5959697,201
243612,6/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#47241, KM BH-C652)",nan,CONTRACT,CONTRACT,1,13044,190.5959697,201
269283,9/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#47241,BH C652)",nan,CONTRACT,CONTRACT,1,12881,190.5959697,201
259607,8/31/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,"CONTRACT (REF#47241,BH-C652)",nan,CONTRACT,CONTRACT,1,9741,190.5959697,201
